source_id	url_or_file	first_seen	source_type	raw_company_name	normalized_company_name	country	status	reason
auto-uruguay-meats-exporters-lorsinal-diundj	https://uymeats.com/product/lorsinal-s-a/	2026-05-19	official_list	Lorsinal S.A	Lorsinal	Uruguay	skipped_dup	重复 URL、注册号或公司+国家
auto-uruguay-meats-exporters-establecimiento-florida-halmon-qpo5mw	https://uymeats.com/product/halmon-s-a/	2026-05-19	official_list	Establecimiento Florida – Halmon S.A	Establecimiento Florida – Halmon	Uruguay	skipped_dup	重复 URL、注册号或公司+国家
auto-uruguay-meats-exporters-frigorifico-casa-blanca-v1g9n0	https://uymeats.com/product/frigorifico-casa-blanca-s-a/	2026-05-19	official_list	Frigorífico Casa Blanca S.A.	Frigorífico Casa Blanca	Uruguay	skipped_dup	重复 URL、注册号或公司+国家
auto-uruguay-meats-exporters-frigorifico-schneck-116t22a	https://uymeats.com/product/frigorifico-schneck/	2026-05-19	official_list	FRIGORÍFICO Schneck	FRIGORÍFICO Schneck	Uruguay	skipped_dup	重复 URL、注册号或公司+国家
auto-uruguay-meats-exporters-frigosalto-somicar-1dlw1hx	https://uymeats.com/product/frigosalto-somicar-s-a/	2026-05-19	official_list	FRIGOSALTO – Somicar S.A.	FRIGOSALTO – Somicar	Uruguay	skipped_dup	重复 URL、注册号或公司+国家
auto-uruguay-meats-exporters-frigoyi-bilacor-13x0g5r	https://uymeats.com/product/frigoyi-bilacor-s-a/	2026-05-19	official_list	Frigoyi – Bilacor S.A.	Frigoyi – Bilacor	Uruguay	skipped_dup	重复 URL、注册号或公司+国家
auto-uruguay-meats-exporters-frigorifico-rosario-rondatel-s0j27z	https://uymeats.com/product/frigorifico-rondatel/	2026-05-19	official_list	Frigorifico Rosario – Rondatel S.A.	Frigorifico Rosario – Rondatel	Uruguay	skipped_dup	重复 URL、注册号或公司+国家
auto-uruguay-meats-exporters-frigorifico-durazno-8pz936	https://uymeats.com/product/frigorifico-durazno/	2026-05-19	official_list	Frigorífico durazno	Frigorífico durazno	Uruguay	skipped_dup	重复 URL、注册号或公司+国家
auto-uruguay-meats-exporters-frigorifico-san-jacinto-1usvf2n	https://uymeats.com/product/frigorifico-san-jacinto/	2026-05-19	official_list	Frigorífico San Jacinto	Frigorífico San Jacinto	Uruguay	skipped_dup	重复 URL、注册号或公司+国家
auto-uruguay-meats-exporters-frigorifico-modelo-1xdfek0	https://uymeats.com/product/frigorifico-modelo-s-a/	2026-05-19	official_list	Frigorifico Modelo S.A	Frigorifico Modelo	Uruguay	skipped_dup	重复 URL、注册号或公司+国家
